,train,val,test
0,B201503065-J1,B201527387C1,B201527387C1
1,B201527523A1,B201500342A1,B201500342A1
2,B201428845E1,B201505522B2,B201505522B2
3,2021-10-28_15_13_18,2021-12-07_16_58_55,2021-12-07_16_58_55
4,B201618614A1,B201502887-B2,B201502887-B2
5,B201527707A1,B201528909A1,B201528909A1
6,2021-04-27_14_56_53,2021-04-27_14_52_05,2021-04-27_14_52_05
7,B201500342A3,2021-12-07_14_23_05,2021-12-07_14_23_05
8,B201529880A2,B201529250A2,B201529250A2
9,B201505325A2,B201502957-A3,B201502957-A3
10,B201620005B1,B201504784A1,B201504784A1
11,B201504627-A3,B201502957-A2,B201502957-A2
12,2021-10-28_16_40_10,B201500405B1,B201500405B1
13,B201527956B1,B201528010A6,B201528010A6
14,2021-10-28_15_16_37,B201526251A1,B201526251A1
15,B201504087-A5,B201527155B2,B201527155B2
16,B201503065-J3,B201502958-B2,B201502958-B2
17,2021-04-27_14_59_26,B201527049A6,B201527049A6
18,2021-12-07_17_11_54,B201529438A2,B201529438A2
19,B201528207A1,2021-04-27_15_02_42,2021-04-27_15_02_42
20,B201529431A3,B201529121A1,B201529121A1
21,2021-12-07_15_56_35,B201528010A4,B201528010A4
22,B201527956B2,B201527624B1,B201527624B1
23,2021-12-07_16_27_35,B201618765A3,B201618765A3
24,B201618765B1,B201500162B1,B201500162B1
25,B201504130-A3,B201527156B1,B201527156B1
26,B201428857B2,B201504627-A4,B201504627-A4
27,B201619994A1,B201527690B,B201527690B
28,2021-12-07_17_23_29,B201526787A1,B201526787A1
29,B201504058-A1,B201526791B1,B201526791B1
30,B201428718A2,2021-10-28_16_13_13,2021-10-28_16_13_13
31,B201529383B2,B201527388A1,B201527388A1
32,B201527049B3,B201527038B1,B201527038B1
33,B201620152A4,B201526787B1,B201526787B1
34,B201619511A1,B201526789A1,B201526789A1
35,B201619589A2,2021-10-28_15_22_27,2021-10-28_15_22_27
36,B201527051B1,B201500052B2,B201500052B2
37,B201528010B3,B201428845B2,B201428845B2
38,B201500068HE,B201529745B1,B201529745B1
39,B201526251B1,B201428720A2,B201428720A2
40,B201527513A2,B201618765A2,B201618765A2
41,B201504394-A2,B201526789A2,B201526789A2
42,B201619994B2,B201526623G3,B201526623G3
43,B201500405A2,B201529523B1,B201529523B1
44,B201618619A2,2021-10-28_16_16_01,2021-10-28_16_16_01
45,B201500166A3,B201502958-A3,B201502958-A3
46,B201529523A2,B201526251A2,B201526251A2
47,2021-12-07_17_24_53,B201618619A1,B201618619A1
48,B201500231K,2021-10-28_14_58_55,2021-10-28_14_58_55
49,B201504058-A2,B201502958-A1,B201502958-A1
50,B201505521A2,2021-04-27_14_47_44,2021-04-27_14_47_44
51,B201504627-A1,B201528010B1,B201528010B1
52,B201619771D,B201619260A1,B201619260A1
53,B201504395-B,B201527048B2,B201527048B2
54,B201619771A2,B201505474B2,B201505474B2
55,B201619231A1,B201618764A2,B201618764A2
56,B201618742B,B201529383A3,B201529383A3
57,B201618759A1,B201500166B,B201500166B
58,B201527040B1,B201527040A2,B201527040A2
59,B201526676B,2021-12-07_17_14_42,2021-12-07_17_14_42
60,B201428718A3,2021-12-07_14_37_58,2021-12-07_14_37_58
61,B201529745B2,B201527155A2,B201527155A2
62,B201620005A3,B201527144A1,B201527144A1
63,B201527817A2,B201500055HE,B201500055HE
64,B201528909A2,B201526386C,B201526386C
65,B201505325B1,B201528908C,B201528908C
66,B201527156A3,B201527387A2,B201527387A2
67,B201428718B3,2021-12-07_14_13_45,2021-12-07_14_13_45
68,B201528908B5,B201619921K2,B201619921K2
69,B201529522A1,B201504784C,B201504784C
70,B201527471A1,B201527156A2,B201527156A2
71,B201505004B2,B201504087-A3,B201504087-A3
72,B201529121B1,B201619231A3,B201619231A3
73,2021-10-28_16_20_35,B201500020A1,B201500020A1
74,B201502824-B1,B201505004B1,B201505004B1
75,B201528010A5,B201619921A1,B201619921A1
76,2021-10-28_16_24_05,2021-10-28_15_02_25,2021-10-28_15_02_25
77,B201620005B2,B201500068A1,B201500068A1
78,B201502886-A2,B201526791A1,B201526791A1
79,2021-12-07_14_41_39,B201528908B2,B201528908B2
80,B201504087-B5,B201502957-B1,B201502957-B1
81,B201619511A3,B201526858A1,B201526858A1
82,B201500068B1,B201528908B6,B201528908B6
83,B201502887-A1,B201526348A2,B201526348A2
84,B201505522A1,B201428720HE,B201428720HE
85,B201618619A3,B201527956A2,B201527956A2
86,2021-10-28_15_55_08,B201527817A3,B201527817A3
87,B201500096A3,B201526791B2,B201526791B2
88,B201500068A2,B201504459-A1,B201504459-A1
89,B201619260A2,B201500227B1,B201500227B1
90,B201505521A,B201503065-B1,B201503065-B1
91,B201529383A2,B201619672B1,B201619672B1
92,B201500020A2,B201504058-B1,B201504058-B1
93,B201527832B2,B201618891A1,B201618891A1
94,B201505521A3,2021-10-28_16_38_08,2021-10-28_16_38_08
95,B201500291B2,B201619771C,B201619771C
96,B201529848A2,B201500291A1,B201500291A1
97,B201618742A1,B201529848A3,B201529848A3
98,B201620152A2,2021-12-07_16_49_05,2021-12-07_16_49_05
99,B201527048A2,2021-10-28_14_20_46,2021-10-28_14_20_46
100,B201500096B1,B201504394-B2,B201504394-B2
101,B201526881B1,B201526676A1,B201526676A1
102,B201527817A1,B201500342A2,B201500342A2
103,B201529745A2,B201529523B2,B201529523B2
104,B201500096A1,B201528909B1,B201528909B1
105,B201504533-A3,B201619260B2,B201619260B2
106,B201528010A3,B201527818B2,B201527818B2
107,B201527624A1,2021-12-07_17_07_12,2021-12-07_17_07_12
108,B201618616A3,B201529848B2,B201529848B2
109,2021-10-28_15_51_29,B201500231B1,B201500231B1
110,B201502887-A2,B201620005A2,B201620005A2
111,B201502824-B2,B201619129B2,B201619129B2
112,B201527049A2,B201502957-A1,B201502957-A1
113,B201526594B,B201619477A,B201619477A
114,B201505325C,B201527037B1,B201527037B1
115,B201428720A3,,
116,B201528207B2,,
117,B201505474A3,,
118,B201528207B1,,
119,B201526791A2,,
120,B201618573B1,,
121,B201527388A2,,
122,B201529250B3,,
123,B201529438C,,
124,B201528266A1,,
125,B201620152B1,,
126,B201504627-A2,,
127,B201618764A1,,
128,B201619129A1,,
129,2021-04-27_15_00_46,,
130,B201500166A2,,
131,B201618891A2,,
132,B201428718B1,,
133,2021-10-28_15_31_28,,
134,B201527471A3,,
135,B201527049C,,
136,B201529121B2,,
137,B201528010B2,,
138,B201527051A1,,
139,B201505004A1,,
140,B201504087-B1,,
141,B201618614B1,,
142,B201504130-B,,
143,B201527037A2,,
144,B201618618A2,,
145,B201504087-B2,,
146,B201619921A2,,
147,B201619231A4,,
148,2021-12-07_17_17_28,,
149,2021-12-07_16_24_29,,
150,B201529008B2,,
151,2021-12-07_14_43_43,,
152,B201527155B12,,
153,2021-10-28_14_57_05,,
154,B201505522B1,,
155,B201504087-A6,,
156,B201528091A1,,
157,B201619672A2,,
158,B201526251A3,,
159,B201618616A2,,
160,B201527690B2,,
161,B201502886-B1,,
162,B201529522A2,,
163,2021-12-07_16_11_25,,
164,B201528266A3,,
165,B201618764B1,,
